Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 64.61     10.73    10.73     1500     0.01     0.01  PentagonBP::FWIabc(unsigned int*, unsigned int*, unsigned int*, int, int)
 28.96     15.54     4.81      660     0.01     0.01  PentagonBP::FWI(unsigned int*, unsigned int*, unsigned int*, int, int)
  1.63     15.81     0.27 23592960     0.00     0.00  PentagonBP::getSubFor(int, int)
  1.08     15.99     0.18       10     0.02     0.04  PentagonBP::inferSubFromInterval()
  0.78     16.12     0.13       10     0.01     0.06  PentagonBP::inferIntervalFromSub()
  0.63     16.23     0.11  9403389     0.00     0.00  Interval::assumeGreaterThan(Interval const&)
  0.63     16.33     0.11 23600640     0.00     0.00  Interval::is_bot() const
  0.42     16.40     0.07 23592960     0.00     0.00  Interval::lessThan(Interval const&) const
  0.30     16.45     0.05  9403389     0.00     0.00  Interval::assumeLessThan(Interval const&)
  0.24     16.49     0.04  1361767     0.00     0.00  PentagonBP::setSubFor(int, int)
  0.15     16.52     0.03  6827276     0.00     0.00  std::vector<std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >, std::allocator<std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > > >::operator[](unsigned long)
  0.12     16.54     0.02     7680     0.00     0.00  Interval::join(Interval const&)
  0.12     16.56     0.02        1     0.02     0.05  Benchmark::loadFromFile(char const*)
  0.09     16.57     0.02  5465520     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::operator[](unsigned long)
  0.06     16.58     0.01  1366380     0.00     0.00  void std::_Construct<std::pair<int, int>, std::pair<int, int> >(std::pair<int, int>*, std::pair<int, int> const&)
  0.06     16.59     0.01        5     0.00     0.00  PentagonBP::subJoin(unsigned int*)
  0.06     16.60     0.01        1     0.01    16.55  Benchmark::benchBP()
  0.06     16.61     0.01                             bool std::operator==<int, std::less<int>, std::allocator<int> >(std::set<int, std::less<int>, std::allocator<int> > const&, std::set<int, std::less<int>, std::allocator<int> > const&)
  0.00     16.61     0.00  1366386     0.00     0.00  operator new(unsigned long, void*)
  0.00     16.61     0.00  1366380     0.00     0.00  std::pair<int, int>* std::__addressof<std::pair<int, int> >(std::pair<int, int>&)
  0.00     16.61     0.00  1361818     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::size() const
  0.00     16.61     0.00     4608     0.00     0.00  PentagonBP::setIntervalFor(int, Interval)
  0.00     16.61     0.00     4608     0.00     0.00  Interval::Interval(int, int)
  0.00     16.61     0.00     4608     0.00     0.00  Interval::Interval()
  0.00     16.61     0.00       43     0.00     0.00  std::_Vector_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_M_get_Tp_allocator()
  0.00     16.61     0.00       28     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::base() const
  0.00     16.61     0.00       21     0.00     0.00  __gnu_cxx::new_allocator<std::pair<int, int> >::max_size() const
  0.00     16.61     0.00       20     0.00     0.00  std::_Vector_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_M_get_Tp_allocator() const
  0.00     16.61     0.00       16     0.00     0.00  void std::_Destroy_aux<true>::__destroy<std::pair<int, int>*>(std::pair<int, int>*, std::pair<int, int>*)
  0.00     16.61     0.00       16     0.00     0.00  std::_Vector_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_M_deallocate(std::pair<int, int>*, unsigned long)
  0.00     16.61     0.00       16     0.00     0.00  void std::_Destroy<std::pair<int, int>*>(std::pair<int, int>*, std::pair<int, int>*)
  0.00     16.61     0.00       16     0.00     0.00  void std::_Destroy<std::pair<int, int>*, std::pair<int, int> >(std::pair<int, int>*, std::pair<int, int>*, std::allocator<std::pair<int, int> >&)
  0.00     16.61     0.00       14     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<std::pair<int, int> > >::max_size(std::allocator<std::pair<int, int> > const&)
  0.00     16.61     0.00       14     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::__normal_iterator(std::pair<int, int>* const&)
  0.00     16.61     0.00       14     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::max_size() const
  0.00     16.61     0.00       14     0.00     0.00  std::pair<int, int>* std::__uninitialized_copy<false>::__uninit_copy<std::pair<int, int>*, std::pair<int, int>*>(std::pair<int, int>*, std::pair<int, int>*, std::pair<int, int>*)
  0.00     16.61     0.00       14     0.00     0.00  std::pair<int, int>* std::uninitialized_copy<std::pair<int, int>*, std::pair<int, int>*>(std::pair<int, int>*, std::pair<int, int>*, std::pair<int, int>*)
  0.00     16.61     0.00       14     0.00     0.00  std::pair<int, int>* std::__uninitialized_copy_a<std::pair<int, int>*, std::pair<int, int>*, std::pair<int, int> >(std::pair<int, int>*, std::pair<int, int>*, std::pair<int, int>*, std::allocator<std::pair<int, int> >&)
  0.00     16.61     0.00       14     0.00     0.00  std::pair<int, int>* std::__uninitialized_move_if_noexcept_a<std::pair<int, int>*, std::pair<int, int>*, std::allocator<std::pair<int, int> > >(std::pair<int, int>*, std::pair<int, int>*, std::pair<int, int>*, std::allocator<std::pair<int, int> >&)
  0.00     16.61     0.00       13     0.00     0.00  std::_Vector_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_M_allocate(unsigned long)
  0.00     16.61     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int> const*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::__normal_iterator(std::pair<int, int> const* const&)
  0.00     16.61     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int> const*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::base() const
